Ingredient,Source_ID,Condition,Extracted_Type,Min,Max,Unit,Freq,Raw_Text_Snippet,Full_Instructions
(10 ingredients) eucalyptus oil-camphor - menthol- peppermint - triethanolamin - glycerin,29275,General,FAILED,,,,,No Match Found,جل مساج يعطى راحة سريعة باردة لالتهاب المفاصل والظهر والتهاب العضلات وآلام المفاصل...
(camphora oil),48245,General,WHO DDD (Arabic),7.0,7.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 7 g,الجرعة اليومية المحددة (WHO DDD): 7 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
(camphora oil),1268966,dosage_and_administration,FAILED,,,,,No Match Found,Warnings For external use only Flammable Keep away from excessive heat or open flame Do not use With...
(camphora oil),1268972,dosage_and_administration,FAILED,,,,,No Match Found,"Directions: For the temporary relief of minor muscular discomfort. See important warnings under ""Whe..."
(camphora oil),1268978,dosage_and_administration,FAILED,,,,,No Match Found,"Directions: For the temporary relief of minor muscular discomfort. See important warnings under ""Whe..."
(camphora oil),36198,General,WHO DDD (Arabic),7.0,7.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 7 g,الجرعة اليومية المحددة (WHO DDD): 7 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
(curcuma longa,44154,General,WHO DDD (Arabic),1.0,1.0,g,Daily,الجرعة اليومية المحددة (WHO DDD): 1 g,الجرعة اليومية المحددة (WHO DDD): 1 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
(curcuma longa,676557,dosage_and_administration,FAILED,,,,,No Match Found,2. DOSAGE AND ADMINISTRATION Adults and Pediatric Patients 3 Years of Age and Older • The recommende...
(curcuma longa,676558,instructions_for_use,FAILED,,,,,No Match Found,"3. DOSAGE FORMS AND STRENGTHS Betaine Anhydrous for Oral Solution is a white, granular, hygroscopic ..."
(curcuma longa,754918,dosage_and_administration,FAILED,,,,,No Match Found,Dosage & administration One bottle of 240mL in one package....
(hypo-allergenic)4.02%,35837,General,WHO DDD (Arabic),0.6,0.6,g,Daily,الجرعة اليومية المحددة (WHO DDD): 0.6 g,الجرعة اليومية المحددة (WHO DDD): 0.6 g (عن طريق الفم). ملاحظة: هذه هي متوسط جرعة الصيانة للبالغين....
