id,drug_id,food_name,severity,description,management_text,mechanism_flags,reference_text
1,DDInter1010,alcohol,Moderate,The concurrent use of aspirin or nonsteroidal anti-inflammatory drugs (NSAIDs) and ethanol may lead to gastrointestinal (GI) blood loss.  The mechanism may be due to a combined local effect as well as inhibition of prostaglandins leading to decreased integrity of the GI lining.,Patients should be counseled on this potential interaction and advised to refrain from alcohol consumption while taking aspirin or NSAIDs.,,
2,DDInter1009,alcohol,Moderate,The concurrent use of aspirin or nonsteroidal anti-inflammatory drugs (NSAIDs) and ethanol may lead to gastrointestinal (GI) blood loss.  The mechanism may be due to a combined local effect as well as inhibition of prostaglandins leading to decreased integrity of the GI lining.,Patients should be counseled on this potential interaction and advised to refrain from alcohol consumption while taking aspirin or NSAIDs.,,
3,DDInter1014,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of central nervous system (CNS)-active agents.  Use in combination may result in additive CNS depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled against driving, operating machinery, or engaging in potentially hazardous activities requiring mental alertness and motor coordination until they know how these agents affect them, and to notify their physician if they experience excessive or prolonged CNS effects that interfere with their normal activities.",,
4,DDInter1006,alcohol,Moderate,"The combination of kava and alcohol poses a theoretical risk of additive hepatotoxicity during chronic concomitant use.  Studies in mice also suggest that the hypnotic effects of kava and alcohol may be synergistically increased when taken together, and that alcohol can markedly potentiate the toxicity of kava.","In general, patients should consult a healthcare provider before taking any herbal or alternative medicine.  Use of kava-containing products with alcohol should be avoided.  Patients using kava should be instructed to discontinue the drug promptly and seek medical attention if signs and symptoms of hepatic injury develop, including fever, rash, anorexia, nausea, vomiting, fatigue, right upper quadrant pain, dark urine, and jaundice.",,
5,DDInter1013,alcohol,Moderate,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.","Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihypertensive drugs.  Patients should be advised to avoid rising abruptly from a sitting or recumbent position and to notify their physician if they experience dizziness, lightheadedness, syncope, orthostasis, or tachycardia.",,
6,DDInter1007,alcohol,Moderate,"Alcohol may potentiate some of the pharmacologic effects of ketamine.  Use in combination may result in additive central nervous system (CNS) depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving ketamine should not drink alcohol.  Caution is advised when ketamine is used in patients with acute alcohol intoxication or a history of chronic alcoholism.  Following anesthesia with ketamine, patients should be counseled to avoid hazardous activities requiring complete mental alertness and motor coordination, such as driving or operating hazardous machinery, for at least 24 hours and until they know how the medication affects them.  Patients treated with oral ketamine should also avoid consumption of grapefruit and grapefruit juice during treatment.  Otherwise, dosage reductions of oral ketamine should be considered.",,
7,DDInter1002,high-fat foods,Moderate,Food may reduce the oral bioavailability of ixazomib.  A food effect study found that administration of a single 4 mg dose of ixazomib with a high-fat meal decreased ixazomib peak plasma concentration (Cmax) by 69% and systemic exposure (AUC) by 28%.,"Ixazomib should be taken at least one hour before or two hours after eating.  On days when both ixazomib and dexamethasone are administered, advise patients to separate dosing times, since dexamethasone should be taken with food while ixazomib should be taken on an empty stomach.",,
8,DDInter1008,alcohol,Moderate,"Excessive use of alcohol or products containing alcohol together with ketoconazole or levoketoconazole may potentiate the risk of liver injury.  Serious hepatotoxicity has been reported with levoketoconazole.  Fatal hepatotoxicity or requiring liver transplantation have been reported with the use of oral ketoconazole, of which levoketoconazole is an enantiomer.","Excessive consumption of alcohol should generally be avoided during ketoconazole or levoketoconazole therapy.  Patients receiving ketoconazole or levoketoconazole should be instructed to contact their doctor immediately if they experience swelling, skin rash, itching, loss of appetite, fatigue, nausea, vomiting, abdominal pain, dark colored urine, light colored stools, and/or yellowing of the skin or eyes, as these may be signs and symptoms of liver damage.",,
9,DDInter1000,grapefruit juice,Major,Grapefruit juice may increase the plasma concentrations of ivosidenib.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.Inhibition of hepatic CYP450 3A4 may also contribute.  The interaction has not been studied with grapefruit juice.,"Ivosidenib may be administered with or without food, but should not be administered with a high-fat meal.  Patients should avoid consumption of grapefruit and grapefruit juice during treatment with ivosidenib.",,
10,DDInter1,alcohol,Minor,Consumption of ethanol during treatment with abacavir results in a decrease in elimination of abacavir due to the inhibition of alcohol dehydrogenase.,Consumption of ethanol during treatment with abacavir results in a decrease in elimination of abacavir due to the inhibition of alcohol dehydrogenase.  Coadministration of alcohol 0.7 g/kg (equivalent to 5 drinks) and abacavir resulted in a 41% increase in the area under the time concentration curve and a 26% increase in elimination half life.  The clinical significance of this interaction is unknown.,,
