drug_a_id,drug_a_name,drug_b_id,drug_b_name,severity,mechanisms,description,management,idx,references,url
DDInter20,Acetylsalicylic acid,DDInter9,Acalabrutinib,Moderate,,Coadministration of acalabrutinib and drugs that interfere with platelet function or coagulation may potentiate the risk of bleeding complications.,Concomitant use of acalabrutinib in patients receiving other medications that interfere with platelet function or coagulation should be approached with caution. Close clinical and laboratory monitoring for bleeding complications is recommended during therapy. Patients should be advised to promptly report any signs and symptoms of bleeding to their physician.,2728,"[1] ""Product Information. Calquence (acalabrutinib)."" Astra-Zeneca Pharmaceuticals, Wilmington, DE. | [2] ""Product Information. Calquence (acalabrutinib)."" Astra-Zeneca Pharmaceuticals, Wilmington, DE. | [3] ""Product Information. Brukinsa (zanubrutinib)."" BeiGene USA, Inc, San Mateo, CA.",https://ddinter2.scbdd.com/server/interact/2728/
DDInter20,Acetylsalicylic acid,DDInter1848,Trastuzumab emtansine,Moderate,,"Coadministration of trastuzumab emtansine with anticoagulant or antiplatelet drugs may potentiate the risk of hemorrhagic events associated with these drugs. In clinical trials, fatal cases of hemorrhage occurred in patients receiving trastuzumab emtansine in addition to anticoagulant and antiplatelet therapy.","Caution is recommended and additional monitoring should be considered if trastuzumab emtansine must be used with anticoagulant or antiplatelet drugs. In general, monitoring of platelet counts is recommended prior to each dose of trastuzumab emtansine.",9742,"[1] Cerner Multum, Inc. ""Australian Product Information."" O 0 | [2] Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0 | [3] ""Product Information. Kadcyla (ado-trastuzumab)."" Genentech, South San Francisco, CA. | [4] Guo LQ, Yamazoe Y ""Inhibition of cytochrome P450 by furanocoumarins in grapefruit juice and herbal medicines."" Acta Pharmacol Sin 25 (2004): 129-36 | [5] Bodiford AB, Kessler FO, Fermo JD, Ragucci KR ""Elevated international normalized ratio with the consumption of grapefruit and use of warfarin."" SAGE Open Med Case Rep 0 (2013): 1-3 | [6] Suvarna R, Pirmohamed M, Henderson L ""Possible interaction between warfarin and cranberry juice."" BMJ 327 (2003): 1454 | [7] Beckey NP, Korman LB, Parra D ""Effect of the moderate consumption of olestra in patients receiving long-term warfarin therapy."" Pharmacotherapy 19 (1999): 1075-9 | [8] Lee M, Schwartz RN, Sharifi R ""Warfarin resistance and vitamin K."" Ann Intern Med 94 (1981): 140-1 | [9] Sullivan DM, Ford MA, Boyden TW ""Grapefruit juice and the response to warfarin."" Am J Health Syst Pharm 55 (1998): 1581-3 | [10] Brandin H, Myrberg O, Rundlof T, Arvidsson AK, Brenning G ""Adverse effects by artificial grapefruit seed extract products in patients on warfarin therapy."" Eur J Clin Pharmacol 63 (2007): 565-70 | [11] Harrell CC, Kline SS ""Vitamin K-supplemented snacks containing olestra: Implication for patients taking warfarin."" Jama J Am Med Assn 282 (1999): 1133-4 | [12] Westfall LK ""An unrecognized cause of warfarin resistance."" Drug Intell Clin Pharm 15 (1981): 131 | [13] Grant P ""Warfarin and cranberry juice: an interaction?"" J Heart Valve Dis 13 (2004): 25-6 | [14] Walker FB ""Myocardial infarction after diet-induced warfarin resistance."" Arch Intern Med 144 (1984): 2089-90 | [15] Pedersen FM, Hamberg O, Hess K, Ovesen L ""The effect of dietary vitamin K on warfarin-induced anticoagulation."" J Intern Med 229 (1991): 517-20 | [16] Ge B, Zhang Z, Zuo Z ""Updates on the clinical evidenced herb-warfarin interactions."" Evid Based Complement Alternat Med 2014 (2014): 957362 | [17] Griffith LD, Olvey SE, Triplett WC ""Increasing prothrombin times in a warfarin-treated patient upon withdrawal of ensure plus."" Crit Care Med 10 (1982): 799-800 | [18] Wells PS, Holbrook AM, Crowther NR, Hirsh J ""Interactions of warfarin with drugs and food."" Ann Intern Med 121 (1994): 676-83 | [19] Agencia Española de Medicamentos y Productos Sanitarios Healthcare ""Centro de información online de medicamentos de la AEMPS - CIMA. Available from: URL: https://cima.aemps.es/cima/publico/home.html."" ([2018]): | [20] Zallman JA, Lee DP, Jeffrey PL ""Liquid nutrition as a cause of warfarin resistance."" Am J Hosp Pharm 38 (1981): 1174 | [21] Watson AJ, Pegg M, Green JR ""Enteral feeds may antagonise warfarin."" Br Med J 288 (1984): 557 | [22] Kuykendall JR, Houle MD, Rhodes RS ""Possible warfarin failure due to interaction with smokeless tobacco."" Ann Pharmacother 38 (2004): 595-7 | [23] Wohlt PD, Zheng L, Gunderson S, Balzar SA, Johnson BD, Fish JT ""Recommendations for the use of medications with continuous enteral nutrition."" Am J Health Syst Pharm 66 (2009): 1438-67 | [24] Andersen P, Godal HC ""Predictable reduction in anticoagulant activity of warfarin by small amounts of vitamin K."" Acta Med Scand 198 (1975): 269-70 | [25] MHRA. Mediciines and Healthcare products Regulatory Agency. Committee on Safety of Medicines ""Possible interaction between warfarin and cranberry juice. Available from: URL: http://medicines.mhra.gov.uk/ourwork/monitorsafequalmed/currentproblems/currentproblems.htm."" ([2003 Sept]): | [26] Karlson B, Leijd B, Hellstrom K ""On the influence of vitamin K-rich vegetables and wine on the effectiveness of warfarin treatment."" Acta Med Scand 220 (1986): 347-50 | [27] O'Reilly RA, Rytand DA """"Resistance"" to warfarin due to unrecognized vitamin K supplementation."" N Engl J Med 303 (1980): 160-1 | [28] Kempin SJ ""Warfarin resistance caused by broccoli."" N Engl J Med 308 (1983): 1229-30 | [29] Cambria-Kiely JA ""Effect of soy milk on warfarin efficacy."" Ann Pharmacother 36 (2002): 1893-6 | [30] Chow WH, Chow TC, Tse TM, Tai YT, Lee WT ""Anticoagulation instability with life-threatening complication after dietary modification."" Postgrad Med J 66 (1990): 855-7 | [31] Hamann GL, Campbell JD, George CM ""Warfarin-cranberry juice interaction."" Ann Pharmacother 45 (2011): e17 | [32] MacLeod SM, Sellers EM ""Pharmacodynamic and pharmacokinetic drug interactions with coumarin anticoagulants."" Drugs 11 (1976): 461-70 | [33] Jarvis S, Li C, Bogle RG ""Possible interaction between pomegranate juice and warfarin."" Emerg Med J 27 (2010): 74-5 | [34] Kazmier FJ, Spittell JA Jr ""Coumarin drug interactions."" Mayo Clin Proc 45 (1970): 249-55 | [35] Monterrey-Rodriguez J ""Interaction between warfarin and mango fruit."" Ann Pharmacother 36 (2002): 940-1 | [36] Roberts D, Flanagan P ""Case report: Cranberry juice and warfarin."" Home Healthc Nurse 29 (2011): 92-7 | [37] Griffiths AP, Beddall A, Pegler S ""Fatal haemopericardium and gastrointestinal haemorrhage due to possible interaction of cranberry juice with warfarin."" J R Soc Health 128 (2008): 324-6 | [38] Parr MD, Record KE, Griffith GL, et al ""Effect of enteral nutrition on warfarin therapy."" Clin Pharm 1 (1982): 274-6 | [39] Howard PA, Hannaman KN ""Warfarin resistance linked to enteral nutrition products."" J Am Diet Assoc 85 (1985): 713-5 | [40] Rindone JP, Murphy TW ""Warfarin-cranberry juice interaction resulting in profound hypoprothrombinemia and bleeding."" Am J Ther 13 (2006): 283-4",https://ddinter2.scbdd.com/server/interact/9742/
DDInter20,Acetylsalicylic acid,DDInter900,Ibuprofen,Moderate,Antagonism,"The antiplatelet and cardioprotective effect of low-dose aspirin may be antagonized by coadministration of some nonsteroidal anti-inflammatory drugs (NSAIDs). Ibuprofen has been specifically implicated, and there is evidence that others including indomethacin, naproxen, and tiaprofenic acid may also interact. The mechanism is competitive inhibition of platelet cyclooxygenase by certain NSAIDs, which, unlike aspirin, bind reversibly at the active site of the enzyme and cause a temporary rather than persistent depression of thromboxane formation and thromboxane-dependent platelet function. The combined use of aspirin with NSAIDs in general may increase the potential for serious gastrointestinal (GI) toxicity, including inflammation, bleeding, ulceration, and perforation.","Patients receiving low-dose aspirin for cardioprotection should avoid the regular use of ibuprofen and possibly other NSAIDs. Occasional use of ibuprofen is acceptable, as the risk from any attenuation of the antiplatelet effect of low-dose aspirin is likely to be minimal given the long-lasting effect of aspirin on platelets. In patients receiving immediate-release (not enteric-coated) aspirin, single doses of ibuprofen 400 mg may be used but should not be administered within 8 hours before or 30 minutes after the aspirin dose. There are currently no specific recommendations regarding the dosing and timing of single-dose ibuprofen in patients receiving enteric-coated low-dose aspirin. For patients requiring routine NSAID therapy with concomitant low-dose aspirin, diclofenac may be a viable alternative. In the retrospective study implicating ibuprofen, 75 mg twice daily of delayed-release diclofenac did not interfere with the antiplatelet activity of aspirin. Other noninterfering alternatives for pain include acetaminophen, celecoxib, or narcotic analgesics. In any case, caution is advised whenever aspirin is combined with a NSAID due to the potential for additive GI toxicity. Patients should be advised to take the medications with food and to immediately report signs and symptoms of GI ulceration and bleeding such as abdominal pain, bloating, sudden dizziness or lightheadedness, nausea, vomiting, hematemesis, anorexia, and melena.",10165,"[1] Wilner KD, Rushing M, Walden C, et al. ""Celecoxib does not affect the antiplatelet activity of aspirin in healthy volunteers."" J Clin Pharmacol 42 (2002): 1027-30 | [2] Livio M, Del Maschio A, Cerletti C, de Gaetano G ""Indomethacin prevents the long-lasting inhibitory effect of aspirin on human platelet cyclo-oxygenase activity."" Prostaglandins 23 (1982): 787-96 | [3] Grennan DM, Ferry DG, Ashworth ME, Kenny RE, Mackinnnon M ""The aspirin-ibuprofen interaction in rheumatoid arthritis."" Br J Clin Pharmacol 8 (1979): 497-503 | [4] FDA. U.S. Food and Drug Administration ""Information for healthcare professionals: concomitant use of ibuprofen and aspirin. New information [9/2006] - concomitant use of ibuprofen and aspirin. Available from: URL: http://www.fda.gov/Drugs/DrugSafety/PostmarketDrugSafetyInformationforPatientsand"" ([2006 Sept]): | [5] Capone ML, Sciulli MG, Tacconelli S, et al. ""Pharmacodynamic interaction of naproxen with low-dose aspirin in healthy subjects."" J Am Coll Cardiol 45 (2005): 1295-301 | [6] Kurth T, Glynn RJ, Walker AM, et al. ""Inhibition of clinical benefits of aspirin on first myocardial infarction by nonsteroidal antiinflammatory drugs."" Circulation 108 (2003): 1191-5 | [7] Rao GH, Johnson GG, Reddy KR, White JG ""Ibuprofen protects platelet cycloosygenase from irreversible inhibition by aspirin."" Arteriosclerosis 3 (1983): 383-8 | [8] Cryer B, Berlin RG, Cooper SA, Hsu C, Wason S ""Double-blind, randomized, parallel, placebo-controlled study of ibuprofen effects on thromboxane B(2) concentrations in aspirin-tereated healthy adult volunteers."" Clin Ther 27 (2005): 185-91 | [9] Catella-Lawson F, Reilly MP, Kapoor SC, et al. ""Cyclooxygenase inhibitors and the antiplatelet effects of aspirin."" N Engl J Med 345 (2001): 1809-17 | [10] ""Concomitant use of ibuprofen and aspirin."" J Pain Palliat Care Pharmacother 21 (2007): 73-4 | [11] MacDonald TM, Wei L ""Effect of ibuprofen on cardioprotective effect of aspirin."" Lancet 361 (2003): 573-4 | [12] Schafer AI ""Effects of nonsteroidal antiinflammatory drugs on platelet function and systemic hemostasis."" J Clin Pharmacol 35 (1995): 209-19 | [13] Gladding PA, Webster MW, Farrell HB, Zeng IS, Park R, Ruijne N ""The antiplatelet effect of six non-steroidal anti-inflammatory drugs and their pharmacodynamic interaction with aspirin in healthy volunteers."" Am J Cardiol 101 (2008): 1060-3 | [14] Kimmel SE, Berlin JA, Reilly M, et al. ""The effects of nonselective non-aspirin non-steroidal anti-inflammatory medications on the risk of nonfatal myocardial infarction and their interaction with aspirin."" J Am Coll Cardiol 43 (2004): 985-90 | [15] Bates ER, Mukherjee D, Lau WC ""Drug-drug interactions involving antiplatelet agents."" Eur Heart J 24 (2003): 1707-9",https://ddinter2.scbdd.com/server/interact/10165/
DDInter1,Abacavir,DDInter1033,Leflunomide,Moderate,,"The recent, concomitant, or subsequent use (without the recommended leflunomide washout period or procedure) of other agents known to induce hepatotoxicity may potentiate the risk of liver injury associated with leflunomide. The risk is thought to extend to teriflunomide, its principal active metabolite, because recommended dosages of both result in a similar range of plasma concentrations of teriflunomide.","Caution is advised if leflunomide or teriflunomide must be used in patients who are currently receiving or have recently received treatment with other hepatotoxic agents (e.g., acetaminophen; alcohol; androgens and anabolic steroids; antituberculous agents; azole antifungal agents; ACE inhibitors; cyclosporine (high dosages); disulfiram; endothelin receptor antagonists; interferons; ketolide and macrolide antibiotics; kinase inhibitors; minocycline; nonsteroidal anti-inflammatory agents; nucleoside reverse transcriptase inhibitors; proteasome inhibitors; retinoids; thiazolidinediones; tolvaptan; vincristine; zileuton; anticonvulsants such as carbamazepine, hydantoins, felbamate, and valproic acid; lipid-lowering medications such as fenofibrate, lomitapide, mipomersen, niacin, and statins; herbals and nutritional supplements such as black cohosh, chaparral, comfrey, DHEA, kava, pennyroyal oil, and red yeast rice), and vice versa. Liver enzymes and bilirubin should be measured prior to initiation of leflunomide/teriflunomide therapy and at least monthly for the first six months of treatment and every 6 to 8 weeks thereafter. Patients with preexisting liver disease or elevated baseline liver enzymes (i.e., ALT greater than two times ULN) should not receive leflunomide or teriflunomide. Patients who develop elevated serum ALT greater than three times ULN while receiving these medications should discontinue treatment and be given washout procedures with cholestyramine or activated charcoal to accelerate elimination of leflunomide's active metabolite from plasma, which otherwise may take up to two years. Follow-up monitoring should be conducted at least weekly until the ALT value is within normal range, and washout procedures repeated as necessary. All patients treated with leflunomide or teriflunomide should be advised to seek medical attention if they experience potential signs and symptoms of hepatotoxicity such as fever, rash, itching, anorexia, nausea, vomiting, fatigue, malaise, right upper quadrant pain, dark urine, pale stools, and jaundice.",23,"[1] EMEA ""EMEA public statement on leflunomide (ARAVA) - severe and serious hepatic reactions. Available from URL: http://www.eudra.org/emea.html."" ([1999 Sept 2]): | [2] ""Product Information. Arava (leflunomide)."" Hoechst Marion-Roussel Inc, Kansas City, MO. | [3] Canadian Pharmacists Association ""e-CPS. Available from: URL: http://www.pharmacists.ca/function/Subscriptions/ecps.cfm?link=eCPS_quikLink.""",https://ddinter2.scbdd.com/server/interact/23/
DDInter1,Abacavir,DDInter1085,Lomitapide,Moderate,,"Coadministration of lomitapide with other agents known to induce hepatotoxicity may potentiate the risk of liver injury. Lomitapide can cause elevations in serum transaminases and hepatic steatosis. Clinical data suggest that hepatic fat accumulation is reversible after stopping treatment with lomitapide, although the long-term consequences are unknown.","Caution is advised if lomitapide is used with other potentially hepatotoxic agents (e.g., acetaminophen; alcohol; amiodarone; androgens and anabolic steroids; antituberculous agents; azole antifungal agents; ACE inhibitors; cyclosporine (high dosages); disulfiram; endothelin receptor antagonists; interferons; ketolide and macrolide antibiotics; kinase inhibitors; methotrexate; nonsteroidal anti-inflammatory agents; nucleoside reverse transcriptase inhibitors; proteasome inhibitors; retinoids; tamoxifen; tetracyclines; thiazolidinediones; tolvaptan; vincristine; zileuton; anticonvulsants such as carbamazepine, hydantoins, felbamate, and valproic acid; other lipid-lowering medications such as fenofibrate, mipomersen, niacin, and statins; herbals and nutritional supplements such as black cohosh, chaparral, comfrey, DHEA, kava, pennyroyal oil, and red yeast rice). Patients treated with lomitapide should have serum ALT, AST, alkaline phosphatase, and total bilirubin measured prior to initiation of treatment and regularly during treatment in accordance with the product labeling, and the dosing adjusted or interrupted as necessary. Since alcohol may increase levels of hepatic fat and induce or exacerbate liver injury, the manufacturer recommends that patients taking lomitapide not consume more than one alcoholic drink per day. Patients should be advised to seek medical attention if they experience potential signs and symptoms of hepatotoxicity such as fever, rash, itching, anorexia, nausea, vomiting, fatigue, malaise, right upper quadrant pain, dark urine, pale stools, and jaundice.",24,"[1] ""Product Information. Juxtapid (lomitapide)."" Aegerion Pharmaceuticals Inc, Cambridge, MA. | [2] ""Product Information. Juxtapid (lomitapide)."" Aegerion Pharmaceuticals Inc, Cambridge, MA.",https://ddinter2.scbdd.com/server/interact/24/
DDInter1,Abacavir,DDInter1228,Mipomersen,Moderate,,Coadministration of mipomersen with other agents known to induce hepatotoxicity may potentiate the risk of liver injury. Mipomersen can cause elevations in serum transaminases and hepatic steatosis.,"Caution is advised if mipomersen is used with other potentially hepatotoxic agents (e.g., acetaminophen; alcohol; amiodarone; androgens and anabolic steroids; antituberculous agents; azole antifungal agents; ACE inhibitors; cyclosporine (high dosages); disulfiram; endothelin receptor antagonists; interferons; kinase inhibitors; methotrexate; nonsteroidal anti-inflammatory agents; nucleoside reverse transcriptase inhibitors; proteasome inhibitors; retinoids; tamoxifen; tetracyclines; thiazolidinediones; tolvaptan; vincristine; zileuton; anticonvulsants such as carbamazepine, hydantoins, felbamate, and valproic acid; other lipid-lowering medications such as fenofibrate, lomitapide, niacin, and statins; herbals and nutritional supplements such as black cohosh, chaparral, comfrey, DHEA, kava, pennyroyal oil, and red yeast rice). Mipomersen has not been studied with other LDL-lowering agents that can also increase hepatic fat, thus concomitant use is not recommended. Patients treated with mipomersen should have serum ALT, AST, alkaline phosphatase, and total bilirubin measured prior to initiation of treatment and regularly during treatment in accordance with the product labeling, and the dosing adjusted or interrupted as necessary. Since alcohol may increase levels of hepatic fat and induce or exacerbate liver injury, the manufacturer recommends that patients taking mipomersen not consume more than one alcoholic drink per day. Patients should be advised to seek medical attention if they experience potential signs and symptoms of hepatotoxicity such as fever, rash, itching, anorexia, nausea, vomiting, fatigue, malaise, right upper quadrant pain, dark urine, pale stools, and jaundice.",27,"[1] ""Product Information. Kynamro (mipomersen)."" Genzyme Corporation, Cambridge, MA. | [2] ""Product Information. Kynamro (mipomersen)."" Genzyme Corporation, Cambridge, MA.",https://ddinter2.scbdd.com/server/interact/27/
DDInter1,Abacavir,DDInter1435,Pexidartinib,Moderate,,"Serious cases of hepatotoxicity, some fatal, have occurred in patients treated with pexidartinib. Concomitant use of other potentially hepatotoxic agents may potentiate the risk of liver injury. The mechanism of hepatotoxicity is unknown, its occurrence cannot be predicted, and it is unknown whether liver injury occurs in the absence of increased transaminases.","The use of pexidartinib with other potentially hepatotoxic agents should be avoided. Patients treated with pexidartinib should have liver function tests, including AST, ALT, total bilirubin, direct bilirubin, ALP, and gamma-glutamyl transferase (GGT), prior to initiation of pexidartinib, weekly for the first 8 weeks, every 2 weeks for the next month, and every 3 months thereafter. Pexidartinib therapy may require a dosage reduction, to be withheld, or permanently discontinued based on the severity of the hepatotoxicity. A recurrence of increased serum transaminases, bilirubin, or ALP may occur upon rechallenge with a reduced dose of pexidartinib. Liver function tests should be performed weekly for the first month after rechallenge. Patients should be advised to seek medical attention if they experience potential signs and symptoms of hepatotoxicity such as fever, rash, itching, anorexia, nausea, vomiting, fatigue, malaise, right upper quadrant pain, dark urine, pale stools, and jaundice.",32,"[1] ""Product Information. Turalio (pexidartinib)."" Daiichi Sankyo, Inc., Parsippany, NJ. | [2] ""Product Information. Turalio (pexidartinib)."" Daiichi Sankyo, Inc., Parsippany, NJ.",https://ddinter2.scbdd.com/server/interact/32/
DDInter1,Abacavir,DDInter1771,Teriflunomide,Moderate,,"The recent, concomitant, or subsequent use (without the recommended leflunomide washout period or procedure) of other agents known to induce hepatotoxicity may potentiate the risk of liver injury associated with leflunomide. The risk is thought to extend to teriflunomide, its principal active metabolite, because recommended dosages of both result in a similar range of plasma concentrations of teriflunomide.","Caution is advised if leflunomide or teriflunomide must be used in patients who are currently receiving or have recently received treatment with other hepatotoxic agents (e.g., acetaminophen; alcohol; androgens and anabolic steroids; antituberculous agents; azole antifungal agents; ACE inhibitors; cyclosporine (high dosages); disulfiram; endothelin receptor antagonists; interferons; ketolide and macrolide antibiotics; kinase inhibitors; minocycline; nonsteroidal anti-inflammatory agents; nucleoside reverse transcriptase inhibitors; proteasome inhibitors; retinoids; thiazolidinediones; tolvaptan; vincristine; zileuton; anticonvulsants such as carbamazepine, hydantoins, felbamate, and valproic acid; lipid-lowering medications such as fenofibrate, lomitapide, mipomersen, niacin, and statins; herbals and nutritional supplements such as black cohosh, chaparral, comfrey, DHEA, kava, pennyroyal oil, and red yeast rice), and vice versa. Liver enzymes and bilirubin should be measured prior to initiation of leflunomide/teriflunomide therapy and at least monthly for the first six months of treatment and every 6 to 8 weeks thereafter. Patients with preexisting liver disease or elevated baseline liver enzymes (i.e., ALT greater than two times ULN) should not receive leflunomide or teriflunomide. Patients who develop elevated serum ALT greater than three times ULN while receiving these medications should discontinue treatment and be given washout procedures with cholestyramine or activated charcoal to accelerate elimination of leflunomide's active metabolite from plasma, which otherwise may take up to two years. Follow-up monitoring should be conducted at least weekly until the ALT value is within normal range, and washout procedures repeated as necessary. All patients treated with leflunomide or teriflunomide should be advised to seek medical attention if they experience potential signs and symptoms of hepatotoxicity such as fever, rash, itching, anorexia, nausea, vomiting, fatigue, malaise, right upper quadrant pain, dark urine, pale stools, and jaundice.",35,"[1] EMEA ""EMEA public statement on leflunomide (ARAVA) - severe and serious hepatic reactions. Available from URL: http://www.eudra.org/emea.html."" ([1999 Sept 2]): | [2] ""Product Information. Arava (leflunomide)."" Hoechst Marion-Roussel Inc, Kansas City, MO. | [3] Canadian Pharmacists Association ""e-CPS. Available from: URL: http://www.pharmacists.ca/function/Subscriptions/ecps.cfm?link=eCPS_quikLink.""",https://ddinter2.scbdd.com/server/interact/35/
DDInter1,Abacavir,DDInter2148,Betibeglogene autotemcel,Major,Antagonism,Antiretroviral medications may interfere with manufacturing of the apheresed cells used in autologous gene therapy.,"Antiretroviral medications should be avoided for at least one month, or for the expected duration of elimination of the antiretroviral medications, prior to HSC mobilization and until all cycles of apheresis have been completed.If antiretroviral therapy is being considered for HIV prophylaxis, serology testing should be conducted to rule out HIV infection before initiating mobilization and apheresis.",236835,"[1] ""Product Information. Zynteglo (betibeglogene autotemcel)."" bluebird bio (2022): | [2] ""Product Information. Skysona (elivaldogene autotemcel)."" bluebird bio (2022):",https://ddinter2.scbdd.com/server/interact/236835/
DDInter1,Abacavir,DDInter2033,Elivaldogene autotemcel,Major,Antagonism,Antiretroviral medications may interfere with manufacturing of the apheresed cells used in autologous gene therapy.,"Antiretroviral medications should be avoided for at least one month, or for the expected duration of elimination of the antiretroviral medications, prior to HSC mobilization and until all cycles of apheresis have been completed.If antiretroviral therapy is being considered for HIV prophylaxis, serology testing should be conducted to rule out HIV infection before initiating mobilization and apheresis.",236838,"[1] ""Product Information. Zynteglo (betibeglogene autotemcel)."" bluebird bio (2022): | [2] ""Product Information. Skysona (elivaldogene autotemcel)."" bluebird bio (2022):",https://ddinter2.scbdd.com/server/interact/236838/
