id,drug_id,preparation_name,components,interaction_info,scraped_at
1,DDInter1015,,[],The recommended maximum number of medicines in the 'systemic alkalinizing agents' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'systemic alkalinizing agents' category.,2025-12-29 00:33:25
2,DDInter1016,,[],The recommended maximum number of medicines in the 'stimulant and hyperosmotic laxatives' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'stimulant and hyperosmotic laxatives' category.,2025-12-29 00:33:27
3,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
4,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
5,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
6,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
7,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
8,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
9,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
10,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
11,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
12,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
13,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
14,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
15,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
16,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
17,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
18,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
19,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
20,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
21,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
22,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
23,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
24,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
25,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
26,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
27,DDInter1007,,[],The recommended maximum number of medicines in the 'NMDA antagonists' category to be taken concurrently is usually one.Your list includes two medicines belonging to the 'NMDA antagonists' category.,2025-12-29 00:33:29
