[V] DrugCard _buildThumbnailCard: drug=alfabonid 2mcg/ml (1ml=2mcg) 10 amp.
[V] DrugCard build: type=DrugCardType.thumbnail, drug=blincorest co 2/125mg 30 chew. tabs., popular=false, alternative=false
[V] DrugCard _buildThumbnailCard: drug=blincorest co 2/125mg 30 chew. tabs.
[V] DrugCard build: type=DrugCardType.thumbnail, drug=lit up whitening skin serum 50 ml, popular=true, alternative=false
[V] DrugCard _buildThumbnailCard: drug=lit up whitening skin serum 50 ml
[V] DrugCard build: type=DrugCardType.thumbnail, drug=munix 10 sachets, popular=true, alternative=false
[V] DrugCard _buildThumbnailCard: drug=munix 10 sachets
[V] DrugCard build: type=DrugCardType.thumbnail, drug=dextrose 3.3% & sodium chloride 0.3% (otsuka) i.v. inf. 250 ml, popular=true, alternative=false
[V] DrugCard _buildThumbnailCard: drug=dextrose 3.3% & sodium chloride 0.3% (otsuka) i.v. inf. 250 ml
[V] DrugCard build: type=DrugCardType.thumbnail, drug=fenac 100 mg 10 tab., popular=true, alternative=false
[V] DrugCard _buildThumbnailCard: drug=fenac 100 mg 10 tab.
[V] DrugCard build: type=DrugCardType.detailed, drug=1 2 3 (one two three) 20 f.c.tabs., popular=false, alternative=false
[V] DrugCard _buildDetailedCard: drug=1 2 3 (one two three) 20 f.c.tabs.
[V] DrugCard build: type=DrugCardType.detailed, drug=1 2 3 (one two three) 20 f.c.tabs., popular=false, alternative=false
[V] DrugCard _buildDetailedCard: drug=1 2 3 (one two three) 20 f.c.tabs.
[V] DrugCard build: type=DrugCardType.detailed, drug=1 2 3 (one two three) syrup 120 ml, popular=false, alternative=false
[V] DrugCard _buildDetailedCard: drug=1 2 3 (one two three) syrup 120 ml
[V] DrugCard build: type=DrugCardType.detailed, drug=1 2 3 extra 20 f.c. tab., popular=false, alternative=false
[V] DrugCard _buildDetailedCard: drug=1 2 3 extra 20 f.c. tab.
[V] DrugCard build: type=DrugCardType.detailed, drug=2hc f.c.t 20 tablets, popular=false, alternative=false
[V] DrugCard _buildDetailedCard: drug=2hc f.c.t 20 tablets
[V] DrugCard build: type=DrugCardType.detailed, drug=3 fly 1200 mg 20tabs, popular=false, alternative=false
[V] DrugCard _buildDetailedCard: drug=3 fly 1200 mg 20tabs
[V] DrugCard build: type=DrugCardType.detailed, drug=3 fly 300 mg 20 tabs, popular=false, alternative=false
[V] DrugCard _buildDetailedCard: drug=3 fly 300 mg 20 tabs
[V] HomeScreen _onScroll: Pixels=1.3, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=3.2, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=5.0, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=7.1, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=9.4, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=11.9, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=14.8, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=17.8, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=21.0, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=24.6, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=28.3, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=32.3, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
[V] HomeScreen _onScroll: Pixels=36.6, MaxScroll=Infinity, TriggerAt=Infinity, IsNearBottom=false, CanLoadMore=true (HasMore=true, !IsLoadingMore=true, !IsLoading=true), ShouldLoad=false
