med_id,source,active_ingredient,route,frequency,instructions,reason,quality
4983,DailyMed,N/A,,24,"Care should be taken not to discontinue therapy prematurely.If signs and symptoms fail to improve after two days, the patient should be re-evaluated (see PRECAUTIONS).The dosing of FLUOR-OP suspension",No Dosage Numbers in Text; Missing Route; Contains Boilerplate,LOW
18088,DailyMed,N/A,,24,"Care should be taken not to discontinue therapy prematurely.If signs and symptoms fail to improve after two days, the patient should be re-evaluated (see PRECAUTIONS).The dosing of FLUOR-OP suspension",No Dosage Numbers in Text; Missing Route; Contains Boilerplate,LOW
19203,DailyMed,N/A,,24,"Care should be taken not to discontinue therapy prematurely.If signs and symptoms fail to improve after two days, the patient should be re-evaluated (see PRECAUTIONS).The dosing of FLUOR-OP suspension",No Dosage Numbers in Text; Missing Route; Contains Boilerplate,LOW
19216,DailyMed,N/A,,24,"Care should be taken not to discontinue therapy prematurely.If signs and symptoms fail to improve after two days, the patient should be re-evaluated (see PRECAUTIONS).The dosing of FLUOR-OP suspension",No Dosage Numbers in Text; Missing Route; Contains Boilerplate,LOW
19259,DailyMed,N/A,,24,"Care should be taken not to discontinue therapy prematurely.If signs and symptoms fail to improve after two days, the patient should be re-evaluated (see PRECAUTIONS).The dosing of FLUOR-OP suspension",No Dosage Numbers in Text; Missing Route; Contains Boilerplate,LOW
27783,DailyMed,N/A,,24,"Care should be taken not to discontinue therapy prematurely.If signs and symptoms fail to improve after two days, the patient should be re-evaluated (see PRECAUTIONS).The dosing of FLUOR-OP suspension",No Dosage Numbers in Text; Missing Route; Contains Boilerplate,LOW
7457,DailyMed,N/A,,6,The usual dose is one drop instilled in affected eyes four times per day.,No Dosage Numbers in Text; Missing Route,LOW
21965,DailyMed,N/A,,6,The usual dose is one drop instilled in affected eyes four times per day.,No Dosage Numbers in Text; Missing Route,LOW
29442,DailyMed,N/A,,6,The usual dose is one drop instilled in affected eyes four times per day.,No Dosage Numbers in Text; Missing Route,LOW
9023,DailyMed,N/A,,,Instill one or two drops in the conjunctival sac(s) every three to four hours as needed.,No Dosage Numbers in Text; Missing Frequency; Missing Route,LOW
9318,DailyMed,N/A,,,Instill one or two drops in the conjunctival sac(s) every three to four hours as needed.,No Dosage Numbers in Text; Missing Frequency; Missing Route,LOW
9866,DailyMed,N/A,,,Instill one or two drops in the conjunctival sac(s) every three to four hours as needed.,No Dosage Numbers in Text; Missing Frequency; Missing Route,LOW
23214,DailyMed,N/A,,,Instill one or two drops in the conjunctival sac(s) every three to four hours as needed.,No Dosage Numbers in Text; Missing Frequency; Missing Route,LOW
23247,DailyMed,N/A,,,Instill one or two drops in the conjunctival sac(s) every three to four hours as needed.,No Dosage Numbers in Text; Missing Frequency; Missing Route,LOW
23406,DailyMed,N/A,,,Instill one or two drops in the conjunctival sac(s) every three to four hours as needed.,No Dosage Numbers in Text; Missing Frequency; Missing Route,LOW
24193,DailyMed,N/A,,,Instill one or two drops in the conjunctival sac(s) every three to four hours as needed.,No Dosage Numbers in Text; Missing Frequency; Missing Route,LOW
25270,DailyMed,N/A,,,Instill one or two drops in the conjunctival sac(s) every three to four hours as needed.,No Dosage Numbers in Text; Missing Frequency; Missing Route,LOW
25271,DailyMed,N/A,,,Instill one or two drops in the conjunctival sac(s) every three to four hours as needed.,No Dosage Numbers in Text; Missing Frequency; Missing Route,LOW
26150,DailyMed,N/A,,,Instill one or two drops in the conjunctival sac(s) every three to four hours as needed.,No Dosage Numbers in Text; Missing Frequency; Missing Route,LOW
27785,DailyMed,N/A,,,Instill one or two drops in the conjunctival sac(s) every three to four hours as needed.,No Dosage Numbers in Text; Missing Frequency; Missing Route,LOW
27786,DailyMed,N/A,,,Instill one or two drops in the conjunctival sac(s) every three to four hours as needed.,No Dosage Numbers in Text; Missing Frequency; Missing Route,LOW
31917,DailyMed,N/A,,,Instill one or two drops in the conjunctival sac(s) every three to four hours as needed.,No Dosage Numbers in Text; Missing Frequency; Missing Route,LOW
26676,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
14157,DailyMed,N/A,oral,,"Route: ORAL
 Kinlytic™ IS INTENDED FOR INTRAVENOUS INFUSION ONLY.Kinlytic™ treatment should be instituted soon after onset of pulmonary embolism. Delay in instituting therapy may decrease the potentia",No Dosage Numbers in Text; Missing Frequency,LOW
14158,DailyMed,N/A,oral,,"Route: ORAL
 Kinlytic™ IS INTENDED FOR INTRAVENOUS INFUSION ONLY.Kinlytic™ treatment should be instituted soon after onset of pulmonary embolism. Delay in instituting therapy may decrease the potentia",No Dosage Numbers in Text; Missing Frequency,LOW
14159,DailyMed,N/A,oral,,"Route: ORAL
 Kinlytic™ IS INTENDED FOR INTRAVENOUS INFUSION ONLY.Kinlytic™ treatment should be instituted soon after onset of pulmonary embolism. Delay in instituting therapy may decrease the potentia",No Dosage Numbers in Text; Missing Frequency,LOW
26576,DailyMed,N/A,topical,,Route: TOPICAL Apply a thin layer of Lindane Lotion over all skin from the neck down.. Apply only once.. (See PRECAUTIONS: Information for Patients and the Medication Guide.) A Lindane Lotion Medicati,No Dosage Numbers in Text; Missing Frequency,LOW
331,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
1211,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
1461,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
1464,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
1473,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
1527,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
1537,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
1821,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
1878,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
2020,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
2360,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
2604,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
2779,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
2958,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
3128,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
3244,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
3440,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
3503,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
3504,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
3575,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
3732,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
3733,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
3736,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
3758,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
4219,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
4221,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
4282,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
4611,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
4862,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
4881,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
4992,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
5080,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
5942,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
5981,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
6042,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
6243,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
6275,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
6432,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
6857,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
6858,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
6866,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
7046,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
7343,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
7426,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
7526,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
7621,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
7697,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
7713,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
7765,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
7831,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
7894,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
7899,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
7901,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
7938,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
8009,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
8821,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
9256,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
9601,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
10054,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
10137,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
10163,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
10175,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
11114,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
11299,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
12622,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
12657,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
13112,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
13218,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
13238,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
13371,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
13543,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
13613,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
13686,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
13734,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
13880,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
14376,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
14648,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
14749,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
14829,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
14836,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
15139,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
15140,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
15395,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
15722,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
16346,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
16482,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
16608,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
16690,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
16747,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
16796,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
16838,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17084,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17088,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17135,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17306,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17318,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17321,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17327,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17328,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17329,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17373,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17670,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17671,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17900,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
17901,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
18036,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
18712,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
19466,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
20262,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
20548,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
20603,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
20740,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
20815,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
21111,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
21191,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
21409,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
21434,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
21489,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
21934,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
21975,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
22110,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
22111,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
22871,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
22872,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
22974,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
23125,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
23179,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
23180,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
23403,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
23492,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
23563,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
23660,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
24512,DailyMed,N/A,,,,Empty/Very Short Text; Missing Frequency; Missing Route,LOW
