ingredient,nbk_id,title,url
- caffeine -saw palmetto -rosemary - aloe vera - biotin -vitamin c -keratin -jojoba -lavender -olive oil - almond oil - thyme - panthenol -a powerful management for telegen effluvium & androgenetic alopecia -powerfully stimulates scalp circulation and stimulates hair growth -elongating the anagen phase in hair follicles -stimulates production in hair. *indicated in: -hair falling -weak and damaged hair -hair shaft abnormalities (split ends) -dry hair and treated with chmical (dyes) -post hair transplantation *suitable for dry and oily scalp,NBK551714,Table,https://www.ncbi.nlm.nih.gov/books/NBK551714/
..,NBK539871,Review Questions,https://www.ncbi.nlm.nih.gov/books/NBK539871/
...,NBK539871,Review Questions,https://www.ncbi.nlm.nih.gov/books/NBK539871/
1,NBK560567,Table 1. 2016 World Health Organization Classification,https://www.ncbi.nlm.nih.gov/books/NBK560567/
10%urea,NBK599513,Nitrosoureas Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK599513/
100mg calcium,NBK539871,Review Questions,https://www.ncbi.nlm.nih.gov/books/NBK539871/
12,NBK585133,Table 12. Differential Diagnosis of Charles Bonnet Syndrome,https://www.ncbi.nlm.nih.gov/books/NBK585133/
13.06 mg),NBK539871,Review Questions,https://www.ncbi.nlm.nih.gov/books/NBK539871/
15 ml,NBK539871,Review Questions,https://www.ncbi.nlm.nih.gov/books/NBK539871/
170mg epa,NBK587440,Preparation,https://www.ncbi.nlm.nih.gov/books/NBK587440/
1ml,NBK539871,Review Questions,https://www.ncbi.nlm.nih.gov/books/NBK539871/
2,NBK560567,Table 2. Endoscopic Third Ventriculostomy Success Score,https://www.ncbi.nlm.nih.gov/books/NBK560567/
2.5 mg iron,NBK585133,Table 13. Environmental and Behavioural Adjustments for CBS,https://www.ncbi.nlm.nih.gov/books/NBK585133/
20 mg vitamin a),NBK546667,Table 9. Minimum Daily Vitamin and Mineral Intake After Bariatric Surgery,https://www.ncbi.nlm.nih.gov/books/NBK546667/
23 mg,NBK539871,Review Questions,https://www.ncbi.nlm.nih.gov/books/NBK539871/
27 mg iron,NBK585133,Table 13. Environmental and Behavioural Adjustments for CBS,https://www.ncbi.nlm.nih.gov/books/NBK585133/
3,NBK560880,Table 3. Differential Diagnosis by Severity,https://www.ncbi.nlm.nih.gov/books/NBK560880/
3%,NBK539871,Review Questions,https://www.ncbi.nlm.nih.gov/books/NBK539871/
370 mg sodium,NBK539871,Review Questions,https://www.ncbi.nlm.nih.gov/books/NBK539871/
5 ml,NBK539871,Review Questions,https://www.ncbi.nlm.nih.gov/books/NBK539871/
50 mg,NBK539871,Review Questions,https://www.ncbi.nlm.nih.gov/books/NBK539871/
5ml,NBK539871,Review Questions,https://www.ncbi.nlm.nih.gov/books/NBK539871/
6,NBK560567,Table 1. 2016 World Health Organization Classification,https://www.ncbi.nlm.nih.gov/books/NBK560567/
a,NBK560668,Enhancing Healthcare Team Outcomes,https://www.ncbi.nlm.nih.gov/books/NBK560668/
a),NBK560668,Enhancing Healthcare Team Outcomes,https://www.ncbi.nlm.nih.gov/books/NBK560668/
adenosine,NBK544321,Table. Dipyridamole Effects on Adenosine Receptors,https://www.ncbi.nlm.nih.gov/books/NBK544321/
aha,NBK606116,ACC/AHA Guidelines for Valve Disease,https://www.ncbi.nlm.nih.gov/books/NBK606116/
aha 3%,NBK606116,ACC/AHA Guidelines for Valve Disease,https://www.ncbi.nlm.nih.gov/books/NBK606116/
al,NBK560668,Enhancing Healthcare Team Outcomes,https://www.ncbi.nlm.nih.gov/books/NBK560668/
ala,NBK546667,Table 2. Malabsorptive Procedures Detailed Comparison,https://www.ncbi.nlm.nih.gov/books/NBK546667/
alcohol,NBK594273,The Emerging Role of Bariatric Surgery in the Management of Nonalcoholic Fatty Liver Disease,https://www.ncbi.nlm.nih.gov/books/NBK594273/
alcohol 70%,NBK594273,The Emerging Role of Bariatric Surgery in the Management of Nonalcoholic Fatty Liver Disease,https://www.ncbi.nlm.nih.gov/books/NBK594273/
alcohol 80%,NBK594273,The Emerging Role of Bariatric Surgery in the Management of Nonalcoholic Fatty Liver Disease,https://www.ncbi.nlm.nih.gov/books/NBK594273/
alcohol 95%,NBK594273,The Emerging Role of Bariatric Surgery in the Management of Nonalcoholic Fatty Liver Disease,https://www.ncbi.nlm.nih.gov/books/NBK594273/
alum,NBK609094,Aluminum Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK609094/
aluminum sulfate,NBK609094,Aluminum Toxicity,https://www.ncbi.nlm.nih.gov/books/NBK609094/
amikacin,NBK549902,Table 2. Toxicity Profile of Amikacin and TMP-SMX,https://www.ncbi.nlm.nih.gov/books/NBK549902/
anis,NBK570558,Table 1. Etiological Categories and Mechanisms of Duane Retraction Syndrome,https://www.ncbi.nlm.nih.gov/books/NBK570558/
asu,NBK470281,Table. HIV Prevention Measures,https://www.ncbi.nlm.nih.gov/books/NBK470281/
atp,NBK557428,Aortic regurgitation sound StatPearls,https://www.ncbi.nlm.nih.gov/books/NBK557428/
b,NBK560567,Table 4. Prognosis Summary of Pineal Region Tumors,https://www.ncbi.nlm.nih.gov/books/NBK560567/
b),NBK560567,Table 4. Prognosis Summary of Pineal Region Tumors,https://www.ncbi.nlm.nih.gov/books/NBK560567/
bacopa monnerei,NBK589635,Bacopa monnieri,https://www.ncbi.nlm.nih.gov/books/NBK589635/
baricitinib,NBK589640,Safe and Effective Use of Baricitinib and Remdesivir in Hospitalized Patients With Coronavirus (COVID-19),https://www.ncbi.nlm.nih.gov/books/NBK589640/
bempedoic acid,NBK594232,Bempedoic Acid,https://www.ncbi.nlm.nih.gov/books/NBK594232/
bet,NBK619810,Table 1. A Comparison Between Holmium Laser Enucleation of the Prostate and Thulium Laser Enucleation of the Prostate,https://www.ncbi.nlm.nih.gov/books/NBK619810/
bran,NBK525949,Table 1. Available Oral Isotretinoin Formulations and Brand Names,https://www.ncbi.nlm.nih.gov/books/NBK525949/
bupropion,NBK618375,Table 5. Naltrexone-Bupropion Clinical Profile,https://www.ncbi.nlm.nih.gov/books/NBK618375/
but,NBK556033,Table 2. Global Infertility Prevalence and Contributing Factors,https://www.ncbi.nlm.nih.gov/books/NBK556033/
c,NBK560668,Enhancing Healthcare Team Outcomes,https://www.ncbi.nlm.nih.gov/books/NBK560668/
c & e,NBK585133,Table 21. Summary of Prognostic Expectations,https://www.ncbi.nlm.nih.gov/books/NBK585133/
c),NBK560668,Enhancing Healthcare Team Outcomes,https://www.ncbi.nlm.nih.gov/books/NBK560668/
ca,NBK560668,Enhancing Healthcare Team Outcomes,https://www.ncbi.nlm.nih.gov/books/NBK560668/
caf,NBK519490,Table. Caffeine Citrate Dosages for Apnea of Prematurity,https://www.ncbi.nlm.nih.gov/books/NBK519490/
caffein,NBK519490,Table. Caffeine Citrate Dosages for Apnea of Prematurity,https://www.ncbi.nlm.nih.gov/books/NBK519490/
caffeine,NBK519490,Table. Caffeine Citrate Dosages for Apnea of Prematurity,https://www.ncbi.nlm.nih.gov/books/NBK519490/
caffeine 2%,NBK519490,Table. Caffeine Citrate Dosages for Apnea of Prematurity,https://www.ncbi.nlm.nih.gov/books/NBK519490/
caffeine 5%,NBK519490,Table. Caffeine Citrate Dosages for Apnea of Prematurity,https://www.ncbi.nlm.nih.gov/books/NBK519490/
caffeine 50 mg,NBK519490,Table. Caffeine Citrate Dosages for Apnea of Prematurity,https://www.ncbi.nlm.nih.gov/books/NBK519490/
calcium,NBK599516,Calcium Deposition and Other Renal Crystal Diseases,https://www.ncbi.nlm.nih.gov/books/NBK599516/
calcium 1000 mg,NBK599516,Calcium Deposition and Other Renal Crystal Diseases,https://www.ncbi.nlm.nih.gov/books/NBK599516/
calcium 1000mg,NBK599516,Calcium Deposition and Other Renal Crystal Diseases,https://www.ncbi.nlm.nih.gov/books/NBK599516/
calcium 150mg,NBK599516,Calcium Deposition and Other Renal Crystal Diseases,https://www.ncbi.nlm.nih.gov/books/NBK599516/
calcium 200mg,NBK599516,Calcium Deposition and Other Renal Crystal Diseases,https://www.ncbi.nlm.nih.gov/books/NBK599516/
