ingredient,nbk_id,url
haemodialysis solution,NBK603745,https://www.ncbi.nlm.nih.gov/books/NBK603745/
cerebrolysin,NBK603745,https://www.ncbi.nlm.nih.gov/books/NBK603745/
dimethylpolysiloxan,NBK603745,https://www.ncbi.nlm.nih.gov/books/NBK603745/
l-lysine acetate,NBK603745,https://www.ncbi.nlm.nih.gov/books/NBK603745/
l-lysine hcl,NBK603745,https://www.ncbi.nlm.nih.gov/books/NBK603745/
l-lysine monoacetate,NBK603745,https://www.ncbi.nlm.nih.gov/books/NBK603745/
lysine,NBK603745,https://www.ncbi.nlm.nih.gov/books/NBK603745/
lysi,NBK603745,https://www.ncbi.nlm.nih.gov/books/NBK603745/
lysine acetylsalicylate,NBK603745,https://www.ncbi.nlm.nih.gov/books/NBK603745/
lysine and multivitamins,NBK603745,https://www.ncbi.nlm.nih.gov/books/NBK603745/
polysiliconase,NBK603745,https://www.ncbi.nlm.nih.gov/books/NBK603745/
polysiloxane,NBK603745,https://www.ncbi.nlm.nih.gov/books/NBK603745/
polysiloxanes,NBK603745,https://www.ncbi.nlm.nih.gov/books/NBK603745/
abemaciclib,NO_MATCH,
abatacept,NBK576392,https://www.ncbi.nlm.nih.gov/books/NBK576392/
l lysin,NBK603745,https://www.ncbi.nlm.nih.gov/books/NBK603745/
l lysine,NBK603745,https://www.ncbi.nlm.nih.gov/books/NBK603745/
abiraterone acetate,NBK537242,https://www.ncbi.nlm.nih.gov/books/NBK537242/
acacia collagen,NO_MATCH,
acacia gum,NO_MATCH,
acacia honey,NO_MATCH,
acai berry,NO_MATCH,
acalabrutinib,NBK585059,https://www.ncbi.nlm.nih.gov/books/NBK585059/
aceclofenac,NBK549818,https://www.ncbi.nlm.nih.gov/books/NBK549818/
abil b,NBK546667,https://www.ncbi.nlm.nih.gov/books/NBK546667/
acefylline piperazine,NBK592421,https://www.ncbi.nlm.nih.gov/books/NBK592421/
acemetacin,NO_MATCH,
paracetamol-chlorpheneramine-phenylephri,NO_MATCH,
paracetamol,NBK538530,https://www.ncbi.nlm.nih.gov/books/NBK538530/
abriol,NO_MATCH,
acetazolamide,NBK532282,https://www.ncbi.nlm.nih.gov/books/NBK532282/
acetyl alcohol,NO_MATCH,
abrocitinib,NBK594269,https://www.ncbi.nlm.nih.gov/books/NBK594269/
acetic acid,NBK482307,https://www.ncbi.nlm.nih.gov/books/NBK482307/
acetyl cectaiene,NBK617055,https://www.ncbi.nlm.nih.gov/books/NBK617055/
acetyl cysteine,NBK604204,https://www.ncbi.nlm.nih.gov/books/NBK604204/
acetyl hexapeptide-3,NBK617055,https://www.ncbi.nlm.nih.gov/books/NBK617055/
acetyl i carnitin,NBK617055,https://www.ncbi.nlm.nih.gov/books/NBK617055/
acetyl l carnitin,NBK541052,https://www.ncbi.nlm.nih.gov/books/NBK541052/
acetyl tetrapeptide,NO_MATCH,
acetyl l carnitine,NBK541052,https://www.ncbi.nlm.nih.gov/books/NBK541052/
l-lysine,NBK603745,https://www.ncbi.nlm.nih.gov/books/NBK603745/
acarbose,NBK493214,https://www.ncbi.nlm.nih.gov/books/NBK493214/
acetylated lanolin,NO_MATCH,
acetylcistein,NO_MATCH,
acetyl-l-carnitine,NBK541052,https://www.ncbi.nlm.nih.gov/books/NBK541052/
acetylcysteine,NBK537183,https://www.ncbi.nlm.nih.gov/books/NBK537183/
acetylsalicylic acid,NBK594232,https://www.ncbi.nlm.nih.gov/books/NBK594232/
achillea,NO_MATCH,
achyranthes,NO_MATCH,
acid colloidal hydrocolloid,NO_MATCH,
acitretin,NBK519571,https://www.ncbi.nlm.nih.gov/books/NBK519571/
acetyl_l_carnitine,NBK541052,https://www.ncbi.nlm.nih.gov/books/NBK541052/
acrivastine,NBK538188,https://www.ncbi.nlm.nih.gov/books/NBK538188/
acrylate,NBK592413,https://www.ncbi.nlm.nih.gov/books/NBK592413/
acrylates copolymer,NO_MATCH,
acetyl l-carnitine,NBK541052,https://www.ncbi.nlm.nih.gov/books/NBK541052/
activated charachol,NBK482294,https://www.ncbi.nlm.nih.gov/books/NBK482294/
activated charcoal,NBK482294,https://www.ncbi.nlm.nih.gov/books/NBK482294/
activated charcoal 600,NO_MATCH,
activated coconut charcoal,NO_MATCH,
activated dimethicon,NBK482294,https://www.ncbi.nlm.nih.gov/books/NBK482294/
active folic acid,NO_MATCH,
active gereinigter honig,NBK499817,https://www.ncbi.nlm.nih.gov/books/NBK499817/
actiwhite,NO_MATCH,
active charcoal,NBK554445,https://www.ncbi.nlm.nih.gov/books/NBK554445/
acnacidol,NO_MATCH,
acyclovir,NBK542180,https://www.ncbi.nlm.nih.gov/books/NBK542180/
adalimumab,NBK557889,https://www.ncbi.nlm.nih.gov/books/NBK557889/
adenosine,NBK544321,https://www.ncbi.nlm.nih.gov/books/NBK544321/
adenosine triphosphate,NBK544321,https://www.ncbi.nlm.nih.gov/books/NBK544321/
adenosine triphosphate disodium,NO_MATCH,
adiphenine,NO_MATCH,
ado-trastuzumab emtansine,NBK537134,https://www.ncbi.nlm.nih.gov/books/NBK537134/
adrenaline,NBK613283,https://www.ncbi.nlm.nih.gov/books/NBK613283/
adrinaline,NO_MATCH,
adefovir,NBK555945,https://www.ncbi.nlm.nih.gov/books/NBK555945/
aescin,NO_MATCH,
aescine,NO_MATCH,
active oxygen,NBK617062,https://www.ncbi.nlm.nih.gov/books/NBK617062/
aesculin,NO_MATCH,
afatinib,NBK542248,https://www.ncbi.nlm.nih.gov/books/NBK542248/
adapalene,NBK482509,https://www.ncbi.nlm.nih.gov/books/NBK482509/
aflibercept,NBK582136,https://www.ncbi.nlm.nih.gov/books/NBK582136/
african mango,NBK535413,https://www.ncbi.nlm.nih.gov/books/NBK535413/
agar agar liquid,NO_MATCH,
agar,NBK564298,https://www.ncbi.nlm.nih.gov/books/NBK564298/
agar-agar,NBK574496,https://www.ncbi.nlm.nih.gov/books/NBK574496/
agomelatine,NBK558911,https://www.ncbi.nlm.nih.gov/books/NBK558911/
aha 3%,NBK606116,https://www.ncbi.nlm.nih.gov/books/NBK606116/
alantoin,NO_MATCH,
aeilocollagen,NO_MATCH,
albendazole,NBK553082,https://www.ncbi.nlm.nih.gov/books/NBK553082/
alcacea oxeoline,NO_MATCH,
agar -agar,NBK574496,https://www.ncbi.nlm.nih.gov/books/NBK574496/
alcohol,NBK568777,https://www.ncbi.nlm.nih.gov/books/NBK568777/
alcaftadine,NBK538188,https://www.ncbi.nlm.nih.gov/books/NBK538188/
alcohol 70%,NBK568777,https://www.ncbi.nlm.nih.gov/books/NBK568777/
alclometasone,NBK567770,https://www.ncbi.nlm.nih.gov/books/NBK567770/
alcohol 80%,NBK568777,https://www.ncbi.nlm.nih.gov/books/NBK568777/
alcohol 95%,NBK568777,https://www.ncbi.nlm.nih.gov/books/NBK568777/
alcohol denat,NBK568777,https://www.ncbi.nlm.nih.gov/books/NBK568777/
alendronate,NBK526073,https://www.ncbi.nlm.nih.gov/books/NBK526073/
aldesleukin,NBK563230,https://www.ncbi.nlm.nih.gov/books/NBK563230/
alectinib,NBK563322,https://www.ncbi.nlm.nih.gov/books/NBK563322/
alentoin .,NO_MATCH,
aleo vera,NBK557660,https://www.ncbi.nlm.nih.gov/books/NBK557660/
aleonolic acid,NBK594232,https://www.ncbi.nlm.nih.gov/books/NBK594232/
alfa arbutin,NBK556018,https://www.ncbi.nlm.nih.gov/books/NBK556018/
alfa-lactalbumina,NO_MATCH,
algae ex,NO_MATCH,
alfuzosin,NBK611986,https://www.ncbi.nlm.nih.gov/books/NBK611986/
algin,NBK563272,https://www.ncbi.nlm.nih.gov/books/NBK563272/
alginate,NBK551566,https://www.ncbi.nlm.nih.gov/books/NBK551566/
algivit,NO_MATCH,
aldox,NO_MATCH,
algomin plus,NBK585113,https://www.ncbi.nlm.nih.gov/books/NBK585113/
alizapride,NO_MATCH,
alirocumab,NBK541128,https://www.ncbi.nlm.nih.gov/books/NBK541128/
allant,NO_MATCH,
allantion,NO_MATCH,
alexidine,NO_MATCH,
allantoin glycyrrhetinic acid,NO_MATCH,
allantoin,NBK599516,https://www.ncbi.nlm.nih.gov/books/NBK599516/
allium cepa ext.,NO_MATCH,
alfacalcidol,NBK562285,https://www.ncbi.nlm.nih.gov/books/NBK562285/
allium cepa,NBK544223,https://www.ncbi.nlm.nih.gov/books/NBK544223/
allopurinol,NBK499942,https://www.ncbi.nlm.nih.gov/books/NBK499942/
almitrine,NBK554485,https://www.ncbi.nlm.nih.gov/books/NBK554485/
almotriptan,NBK541092,https://www.ncbi.nlm.nih.gov/books/NBK541092/
aloe barbadenesis leaf,NO_MATCH,
almond,NBK534810,https://www.ncbi.nlm.nih.gov/books/NBK534810/
aloe,NBK606112,https://www.ncbi.nlm.nih.gov/books/NBK606112/
aloe barbadensis,NO_MATCH,
aliskiren,NBK606100,https://www.ncbi.nlm.nih.gov/books/NBK606100/
aloe ext,NO_MATCH,
aloe barbdensis,NBK606112,https://www.ncbi.nlm.nih.gov/books/NBK606112/
aloe ve,NO_MATCH,
aloe ver,NO_MATCH,
aloe vera ex,NO_MATCH,
aloe vera ext,NO_MATCH,
aloe vera ext.,NO_MATCH,
aloe vera,NBK559290,https://www.ncbi.nlm.nih.gov/books/NBK559290/
aloe vera extr,NO_MATCH,
aloe vera extra,NO_MATCH,
aloe vera leaf,NO_MATCH,
aloevera,NO_MATCH,
aloe vrea,NBK606112,https://www.ncbi.nlm.nih.gov/books/NBK606112/
aloe-vera,NBK559290,https://www.ncbi.nlm.nih.gov/books/NBK559290/
aloevera ext,NO_MATCH,
alogliptin,NBK507809,https://www.ncbi.nlm.nih.gov/books/NBK507809/
aloin,NO_MATCH,
alovera,NO_MATCH,
alpantha,NO_MATCH,
alove vera ex,NBK608000,https://www.ncbi.nlm.nih.gov/books/NBK608000/
alovera ext.,NBK544296,https://www.ncbi.nlm.nih.gov/books/NBK544296/
alph amylase,NBK557738,https://www.ncbi.nlm.nih.gov/books/NBK557738/
alpelisib,NBK574508,https://www.ncbi.nlm.nih.gov/books/NBK574508/
alpha - galact,NBK587402,https://www.ncbi.nlm.nih.gov/books/NBK587402/
alpha amailse,NBK587402,https://www.ncbi.nlm.nih.gov/books/NBK587402/
alpha -amylase,NBK537103,https://www.ncbi.nlm.nih.gov/books/NBK537103/
alpha amylase 25,NBK585133,https://www.ncbi.nlm.nih.gov/books/NBK585133/
alpha amylase enzyme,NBK482325,https://www.ncbi.nlm.nih.gov/books/NBK482325/
alpha amylaze,NBK587402,https://www.ncbi.nlm.nih.gov/books/NBK587402/
aloe capensis,NO_MATCH,
alpha arbutin,NBK587402,https://www.ncbi.nlm.nih.gov/books/NBK587402/
alpha chymotrypsin,NBK587402,https://www.ncbi.nlm.nih.gov/books/NBK587402/
alpha hederin,NBK587402,https://www.ncbi.nlm.nih.gov/books/NBK587402/
alpha lactalbumin,NBK542243,https://www.ncbi.nlm.nih.gov/books/NBK542243/
alpha galactosidase,NBK613280,https://www.ncbi.nlm.nih.gov/books/NBK613280/
alpha lipoic aacid,NBK564301,https://www.ncbi.nlm.nih.gov/books/NBK564301/
alpha bisabolol,NBK587402,https://www.ncbi.nlm.nih.gov/books/NBK587402/
alpha lipolc acid,NBK564301,https://www.ncbi.nlm.nih.gov/books/NBK564301/
alpha lipolic acid,NBK564301,https://www.ncbi.nlm.nih.gov/books/NBK564301/
alpha pinene,NO_MATCH,
alpha amylase,NBK537103,https://www.ncbi.nlm.nih.gov/books/NBK537103/
alpha tocopherol,NBK597352,https://www.ncbi.nlm.nih.gov/books/NBK597352/
alpha- arbutin,NBK587402,https://www.ncbi.nlm.nih.gov/books/NBK587402/
alpha-arbutin,NO_MATCH,
alpha lipoic acid,NBK564301,https://www.ncbi.nlm.nih.gov/books/NBK564301/
alpha-d-glucosamine,NO_MATCH,
alpha creatine monohydrate,NO_MATCH,
alpha-bisabolol,NBK534859,https://www.ncbi.nlm.nih.gov/books/NBK534859/
alpha-galactosidase,NBK613280,https://www.ncbi.nlm.nih.gov/books/NBK613280/
alpha-lipoic acid,NBK564301,https://www.ncbi.nlm.nih.gov/books/NBK564301/
alphachemotrysin,NO_MATCH,
alpha-linolenic acid,NBK597377,https://www.ncbi.nlm.nih.gov/books/NBK597377/
alphalipoic acid,NBK594232,https://www.ncbi.nlm.nih.gov/books/NBK594232/
alphliboic acid,NBK594232,https://www.ncbi.nlm.nih.gov/books/NBK594232/
alprazolam,NBK538165,https://www.ncbi.nlm.nih.gov/books/NBK538165/
alprostadil,NBK542217,https://www.ncbi.nlm.nih.gov/books/NBK542217/
alteplase,NBK499977,https://www.ncbi.nlm.nih.gov/books/NBK499977/
alpha lipoma acid,NBK563226,https://www.ncbi.nlm.nih.gov/books/NBK563226/
alum rock,NO_MATCH,
alum,NBK599526,https://www.ncbi.nlm.nih.gov/books/NBK599526/
aluminium acetate,NO_MATCH,
aluminium aspirin,NO_MATCH,
aluminium chloride hexahydrate,NO_MATCH,
aluminium chloride,NBK599504,https://www.ncbi.nlm.nih.gov/books/NBK599504/
aluminium glycinate,NO_MATCH,
aluminium lactat,NO_MATCH,
aluminium oxide,NBK546669,https://www.ncbi.nlm.nih.gov/books/NBK546669/
aluminium potassium sulphate,NBK482448,https://www.ncbi.nlm.nih.gov/books/NBK482448/
aluminium sulphate,NBK609094,https://www.ncbi.nlm.nih.gov/books/NBK609094/
aluminum sulfate,NBK560535,https://www.ncbi.nlm.nih.gov/books/NBK560535/
alverine citrate,NBK519490,https://www.ncbi.nlm.nih.gov/books/NBK519490/
amantadine,NBK560517,https://www.ncbi.nlm.nih.gov/books/NBK560517/
ambroxol,NO_MATCH,
amenoxy,NO_MATCH,
ambrisentan,NBK603743,https://www.ncbi.nlm.nih.gov/books/NBK603743/
amidotrizoic acid,NO_MATCH,
amikacin,NBK549902,https://www.ncbi.nlm.nih.gov/books/NBK549902/
amiloride,NBK542303,https://www.ncbi.nlm.nih.gov/books/NBK542303/
aminacrine,NO_MATCH,
aluminium hydroxide,NBK546669,https://www.ncbi.nlm.nih.gov/books/NBK546669/
aminexil 2%,NO_MATCH,
aminixil 2%,NO_MATCH,
aluminum ammonium sulfate,NO_MATCH,
amino acids,NBK557845,https://www.ncbi.nlm.nih.gov/books/NBK557845/
amino acid combination,NBK615302,https://www.ncbi.nlm.nih.gov/books/NBK615302/
amino blend,NBK539790,https://www.ncbi.nlm.nih.gov/books/NBK539790/
aminoacridine,NO_MATCH,
aminoacids,NBK563270,https://www.ncbi.nlm.nih.gov/books/NBK563270/
amiodarone,NBK482154,https://www.ncbi.nlm.nih.gov/books/NBK482154/
amino acid,NBK559250,https://www.ncbi.nlm.nih.gov/books/NBK559250/
amisulpride,NBK610690,https://www.ncbi.nlm.nih.gov/books/NBK610690/
aminexil,NO_MATCH,
amitriptyline,NBK537225,https://www.ncbi.nlm.nih.gov/books/NBK537225/
aminixeil,NO_MATCH,
amlexanox,NO_MATCH,
ammi visnaga,NBK559297,https://www.ncbi.nlm.nih.gov/books/NBK559297/
ammoniated mercury,NBK499935,https://www.ncbi.nlm.nih.gov/books/NBK499935/
ammonium chloride-diphenhydramine,NBK594254,https://www.ncbi.nlm.nih.gov/books/NBK594254/
ammonium chloride,NBK594254,https://www.ncbi.nlm.nih.gov/books/NBK594254/
ammonium lauryl sulfate,NO_MATCH,
ammonium molybdate,NBK594254,https://www.ncbi.nlm.nih.gov/books/NBK594254/
amlodipine,NBK519508,https://www.ncbi.nlm.nih.gov/books/NBK519508/
amodimethicone,NO_MATCH,
ammi visnaga ex,NBK604209,https://www.ncbi.nlm.nih.gov/books/NBK604209/
