WikEM_Name,DB_Ingredient_Name,Match_Type,File_Path
Monteggia fracture-dislocation,,None,scripts/wikem_scraper/scraped_data/drugs/Monteggia_fracture-dislocation.json
Cyclophosphamide,cyclophosphamide,Exact,scripts/wikem_scraper/scraped_data/drugs/Cyclophosphamide.json
Rimantadine,,None,scripts/wikem_scraper/scraped_data/drugs/Rimantadine.json
Basal cell carcinoma,,None,scripts/wikem_scraper/scraped_data/drugs/Basal_cell_carcinoma.json
Schizophreniform disorder,,None,scripts/wikem_scraper/scraped_data/drugs/Schizophreniform_disorder.json
QT prolongation,,None,scripts/wikem_scraper/scraped_data/drugs/QT_prolongation.json
Hydrocodone,,None,scripts/wikem_scraper/scraped_data/drugs/Hydrocodone.json
Isolated transverse process fracture,,None,scripts/wikem_scraper/scraped_data/drugs/Isolated_transverse_process_fracture.json
Haloperidol,haloperidol,Exact,scripts/wikem_scraper/scraped_data/drugs/Haloperidol.json
HEART Score,,None,scripts/wikem_scraper/scraped_data/drugs/HEART_Score.json
De Quervain tenosynovitis,,None,scripts/wikem_scraper/scraped_data/drugs/De_Quervain_tenosynovitis.json
Digital EpiPen injection,,None,scripts/wikem_scraper/scraped_data/drugs/Digital_EpiPen_injection.json
Trazodone toxicity,,None,scripts/wikem_scraper/scraped_data/drugs/Trazodone_toxicity.json
Pneumonia severity index (Port Score),,None,scripts/wikem_scraper/scraped_data/drugs/Pneumonia_severity_index_(Port_Score).json
Abdominal pain in pregnancy,,None,scripts/wikem_scraper/scraped_data/drugs/Abdominal_pain_in_pregnancy.json
Pentobarbital,,None,scripts/wikem_scraper/scraped_data/drugs/Pentobarbital.json
Anterior shoulder dislocation,,None,scripts/wikem_scraper/scraped_data/drugs/Anterior_shoulder_dislocation.json
Proctalgia fugax,,None,scripts/wikem_scraper/scraped_data/drugs/Proctalgia_fugax.json
BLS (Main),,None,scripts/wikem_scraper/scraped_data/drugs/BLS_(Main).json
Cefadroxil,cefadroxil,Exact,scripts/wikem_scraper/scraped_data/drugs/Cefadroxil.json
Nucleoside analog,,None,scripts/wikem_scraper/scraped_data/drugs/Nucleoside_analog.json
